sample,donor ,stimulation,stimuation_concentration,inhibitor,inhibitor_conc,paired_end_read 
1-_D1-_UT_R1,1,Untreated,NA,NA,NA,1
1-_D1-_UT_R2,1,Untreated,NA,NA,NA,2
2-_D1-_SP_R1,1,SP,20,NA,NA,1
2-_D1-_SP_R2,1,SP,20,NA,NA,2
3-_D1-_SP___756_R1,1,SP,20,EVO756,5,1
3-_D1-_SP___756_R2,1,SP,20,EVO756,5,2
4-_D1-_IgE_R1,1,a-IgE,200,NA,NA,1
4-_D1-_IgE_R2,1,a-IgE,200,NA,NA,2
5-_D1-_IgE___756_R1,1,a-IgE,200,EVO756,5,1
5-_D1-_IgE___756_R2,1,a-IgE,200,EVO756,5,2
6-_D2-_UT_R1,2,Untreated,NA,NA,NA,1
6-_D2-_UT_R2,2,Untreated,NA,NA,NA,2
7-_D1-_SP_R1,2,SP,20,NA,NA,1
7-_D1-_SP_R2,2,SP,20,NA,NA,2
8-_D1-_SP___756_R1,2,SP,20,EVO756,5,1
8-_D1-_SP___756_R2,2,SP,20,EVO756,5,2
9-_D1-_IgE_R1,2,a-IgE,200,NA,NA,1
9-_D1-_IgE_R2,2,a-IgE,200,NA,NA,2
10-_D1-_IgE___756_R1,2,a-IgE,200,EVO756,5,1
10-_D1-_IgE___756_R2,2,a-IgE,200,EVO756,5,2
11-_D2-_UT_R1,3,Untreated,NA,NA,NA,1
11-_D2-_UT_R2,3,Untreated,NA,NA,NA,2
12-_D1-_SP_R1,3,SP,20,NA,NA,1
12-_D1-_SP_R2,3,SP,20,NA,NA,2
13-_D1-_SP___756_R1,3,SP,20,EVO756,5,1
13-_D1-_SP___756_R2,3,SP,20,EVO756,5,2
14-_D1-_IgE_R1,3,a-IgE,200,NA,NA,1
14-_D1-_IgE_R2,3,a-IgE,200,NA,NA,2
15-_D1-_IgE___756_R1,3,a-IgE,200,EVO756,5,1
15-_D1-_IgE___756_R2,3,a-IgE,200,EVO756,5,2
16-_D2-_UT_R1,4,Untreated,NA,NA,NA,1
16-_D2-_UT_R2,4,Untreated,NA,NA,NA,2
17-_D1-_SP_R1,4,SP,20,NA,NA,1
17-_D1-_SP_R2,4,SP,20,NA,NA,2
18-_D1-_SP___756_R1,4,SP,20,EVO756,5,1
18-_D1-_SP___756_R2,4,SP,20,EVO756,5,2
19-_D1-_IgE_R1,4,a-IgE,200,NA,NA,1
19-_D1-_IgE_R2,4,a-IgE,200,NA,NA,2
20-_D1-_IgE___756_R1,4,a-IgE,200,EVO756,5,1
20-_D1-_IgE___756_R2,4,a-IgE,200,EVO756,5,2
