"","sample","donor","stimulation","stimuation_concentration","inhibitor","inhibitor_conc","paired_end_read","aIgE_inhibited_vs_uninhibited","SP_inhibited_vs_uninhibited","aIgE_activated_vs_unactivated","SP_activated_vs_unactivated","inhibited_vs_uninhibited","activated_vs_unactivated","filePath","fileMD5"
"1-_D1-_UT","1-_D1-_UT",1,"Untreated",NA,NA,NA,1,NA,NA,"Unactivated","Unactivated",NA,"Unactivated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/1-_D1-_UT/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"10-_D2-_IgE___756","10-_D2-_IgE___756",2,"aIgE",200,"EVO756",5,1,"EVO576",NA,NA,NA,"Inhibited",NA,"/cyto_cc/inputs/s05_X2_RNAseq_24hr/10-_D2-_IgE___756/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"11-_D3-_UT","11-_D3-_UT",3,"Untreated",NA,NA,NA,1,NA,NA,"Unactivated","Unactivated",NA,"Unactivated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/11-_D3-_UT/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"12-_D3-_SP","12-_D3-_SP",3,"SP",20,NA,NA,1,NA,"Uninhibited",NA,"SP","Uninhibited","Activated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/12-_D3-_SP/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"13-_D3-_SP___756","13-_D3-_SP___756",3,"SP",20,"EVO756",5,1,NA,"EVO576",NA,NA,"Inhibited",NA,"/cyto_cc/inputs/s05_X2_RNAseq_24hr/13-_D3-_SP___756/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"14-_D3-_IgE","14-_D3-_IgE",3,"aIgE",200,NA,NA,1,"Uninhibited",NA,"aIgE",NA,"Uninhibited","Activated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/14-_D3-_IgE/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"15-_D3-_IgE___756","15-_D3-_IgE___756",3,"aIgE",200,"EVO756",5,1,"EVO576",NA,NA,NA,"Inhibited",NA,"/cyto_cc/inputs/s05_X2_RNAseq_24hr/15-_D3-_IgE___756/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"16-_D4-_UT","16-_D4-_UT",4,"Untreated",NA,NA,NA,1,NA,NA,"Unactivated","Unactivated",NA,"Unactivated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/16-_D4-_UT/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"17-_D4-_SP","17-_D4-_SP",4,"SP",20,NA,NA,1,NA,"Uninhibited",NA,"SP","Uninhibited","Activated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/17-_D4-_SP/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"18-_D4-_SP___756","18-_D4-_SP___756",4,"SP",20,"EVO756",5,1,NA,"EVO576",NA,NA,"Inhibited",NA,"/cyto_cc/inputs/s05_X2_RNAseq_24hr/18-_D4-_SP___756/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"19-_D4-_IgE","19-_D4-_IgE",4,"aIgE",200,NA,NA,1,"Uninhibited",NA,"aIgE",NA,"Uninhibited","Activated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/19-_D4-_IgE/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"2-_D1-_SP","2-_D1-_SP",1,"SP",20,NA,NA,1,NA,"Uninhibited",NA,"SP","Uninhibited","Activated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/2-_D1-_SP/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"20-_D4-_IgE___756","20-_D4-_IgE___756",4,"aIgE",200,"EVO756",5,1,"EVO576",NA,NA,NA,"Inhibited",NA,"/cyto_cc/inputs/s05_X2_RNAseq_24hr/20-_D4-_IgE___756/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"3-_D1-_SP___756","3-_D1-_SP___756",1,"SP",20,"EVO756",5,1,NA,"EVO576",NA,NA,"Inhibited",NA,"/cyto_cc/inputs/s05_X2_RNAseq_24hr/3-_D1-_SP___756/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"4-_D1-_IgE","4-_D1-_IgE",1,"aIgE",200,NA,NA,1,"Uninhibited",NA,"aIgE",NA,"Uninhibited","Activated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/4-_D1-_IgE/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"5-_D1-_IgE___756","5-_D1-_IgE___756",1,"aIgE",200,"EVO756",5,1,"EVO576",NA,NA,NA,"Inhibited",NA,"/cyto_cc/inputs/s05_X2_RNAseq_24hr/5-_D1-_IgE___756/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"6-_D2-_UT","6-_D2-_UT",2,"Untreated",NA,NA,NA,1,NA,NA,"Unactivated","Unactivated",NA,"Unactivated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/6-_D2-_UT/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"7-_D2-_SP","7-_D2-_SP",2,"SP",20,NA,NA,1,NA,"Uninhibited",NA,"SP","Uninhibited","Activated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/7-_D2-_SP/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"8-_D2-_SP___756","8-_D2-_SP___756",2,"SP",20,"EVO756",5,1,NA,"EVO576",NA,NA,"Inhibited",NA,"/cyto_cc/inputs/s05_X2_RNAseq_24hr/8-_D2-_SP___756/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
"9-_D2-_IgE","9-_D2-_IgE",2,"aIgE",200,NA,NA,1,"Uninhibited",NA,"aIgE",NA,"Uninhibited","Activated","/cyto_cc/inputs/s05_X2_RNAseq_24hr/9-_D2-_IgE/abundance.h5","eb2497b7a210725c4ae4272b92edc568"
