"","sample","donor","agonist","agonist_concentration","inhibitor","inhibitor_conc","CST14_inhibited_vs_uninhibited","Icatibant_inhibited_vs_uninhibited","PAMP12_inhibited_vs_uninhibited","SP_inhibited_vs_uninhibited","Untreated_inhibited_vs_uninhibited","CST14_activated_vs_unactivated","Icatibant_activated_vs_unactivated","PAMP12_activated_vs_unactivated","SP_activated_vs_unactivated","inhibited_vs_uninhibited","activated_vs_unactivated","inhibited_vs_activated","filePath","fileMD5"
"CST14-756D1","CST14-756D1",1,"CST14",4,"EVO756",10,"EVO576",NA,NA,NA,NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/CST14-756D1/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"CST14-756D2","CST14-756D2",2,"CST14",4,"EVO756",10,"EVO576",NA,NA,NA,NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/CST14-756D2/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"CST14-756D3","CST14-756D3",3,"CST14",4,"EVO756",10,"EVO576",NA,NA,NA,NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/CST14-756D3/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"CST14D1","CST14D1",1,"CST14",4,NA,NA,"Uninhibited",NA,NA,NA,NA,"CST14",NA,NA,NA,"Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/CST14D1/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"CST14D2","CST14D2",2,"CST14",4,NA,NA,"Uninhibited",NA,NA,NA,NA,"CST14",NA,NA,NA,"Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/CST14D2/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"CST14D3","CST14D3",3,"CST14",4,NA,NA,"Uninhibited",NA,NA,NA,NA,"CST14",NA,NA,NA,"Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/CST14D3/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"Icant756D1","Icant756D1",1,"Icatibant",100,"EVO756",10,NA,"EVO576",NA,NA,NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/Icant756D1/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"Icant756D2","Icant756D2",2,"Icatibant",100,"EVO756",10,NA,"EVO576",NA,NA,NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/Icant756D2/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"Icant756D3","Icant756D3",3,"Icatibant",100,"EVO756",10,NA,"EVO576",NA,NA,NA,NA,NA,NA,NA,"Inhibited",NA,"EVO576","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/Icant756D3/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
"IcantD1","IcantD1",1,"Icatibant",100,NA,NA,NA,"Uninhibited",NA,NA,NA,NA,"Icatibant",NA,NA,"Uninhibited","Activated","Activated","/cyto_cc/inputs/s05_X2_RNAseq_4hr_single/IcantD1/abundance.h5","5bb2a0ccda2956cf5f8736dc3d5ad57a"
