"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","grank","gene_symbol","dataset","cell_type"
0,1.84723674681199,0.613,0.224,0,"Tcm","143686",3,"SESN3","Wu","T Cells"
0,1.78114453130753,0.577,0.202,0,"Tcm","10365",4,"KLF2","Wu","T Cells"
0,1.14130863807821,0.806,0.451,0,"Tcm","168537",43,"GIMAP7","Wu","T Cells"
0,1.30145677570844,0.428,0.185,0,"Tcm","6932",24,"TCF7","Wu","T Cells"
0,1.59525261406901,0.357,0.128,0,"Tcm","6402",12,"SELL","Wu","T Cells"
0,0.828079078385662,0.894,0.665,0,"Tcm","29997",87,"NOP53","Wu","T Cells"
0,0.852374771808642,0.542,0.314,0,"Tcm","170575",82,"GIMAP1","Wu","T Cells"
0,1.6982672698949,0.35,0.142,0,"Tcm","23178",7,"PASK","Wu","T Cells"
0,0.799805957269937,0.559,0.36,0,"Tcm","100093630",99,"SNHG8","Wu","T Cells"
0,1.73102509140185,0.238,0.075,0,"Tcm","1901",6,"S1PR1","Wu","T Cells"
0,1.46287944008235,0.248,0.088,0,"Tcm","288",15,"ANK3","Wu","T Cells"
0,1.23694436067001,0.274,0.12,0,"Tcm","51176",28,"LEF1","Wu","T Cells"
0,0.905957276365557,0.363,0.21,0,"Tcm","9750",70,"RIPOR2","Wu","T Cells"
0,1.12442892161262,0.277,0.131,0,"Tcm","51274",46,"KLF3","Wu","T Cells"
0,0.852512333488055,0.326,0.184,0,"Tcm","26157",81,"GIMAP2","Wu","T Cells"
0,0.806232666898421,0.931,0.79,0,"Tcm","6173",93,"RPL36A","Wu","T Cells"
0,0.89265628220543,0.974,0.843,0,"Tcm","1933",72,"EEF1B2","Wu","T Cells"
0,1.32970226055886,0.215,0.088,0,"Tcm","152189",23,"CMTM8","Wu","T Cells"
0,1.11490295085345,0.24,0.115,0,"Tcm","6309",47,"SC5D","Wu","T Cells"
0,1.20149612677444,0.232,0.109,0,"Tcm","10947",35,"AP3M2","Wu","T Cells"
0,1.13394834006466,0.975,0.855,0,"Tcm","26986",44,"PABPC1","Wu","T Cells"
0,0.967576850556031,0.215,0.096,0,"Tcm","4118",63,"MAL","Wu","T Cells"
0,1.13092407579672,0.202,0.084,0,"Tcm","51316",45,"PLAC8","Wu","T Cells"
0,1.20213851508679,0.204,0.091,0,"Tcm","3384",34,"ICAM2","Wu","T Cells"
0,1.34433153029698,0.147,0.057,0,"Tcm","4609",20,"MYC","Wu","T Cells"
0,1.94066105415117,0.118,0.032,0,"Tcm","100996286",1,"LINC02273","Wu","T Cells"
0,0.823047936423788,0.999,0.977,0,"Tcm","6235",88,"RPS29","Wu","T Cells"
0,0.868847714807483,1,0.978,0,"Tcm","6122",76,"RPL3","Wu","T Cells"
0,0.817494313260573,1,0.984,0,"Tcm","6222",89,"RPS18","Wu","T Cells"
0,0.808565593165337,1,0.985,0,"Tcm","23521",92,"RPL13A","Wu","T Cells"
0,0.853560663000263,1,0.991,0,"Tcm","6206",80,"RPS12","Wu","T Cells"
0,0.804141682949544,1,0.993,0,"Tcm","6137",95,"RPL13","Wu","T Cells"
4.9008465286649e-292,1.58740478339238,0.104,0.035,9.17830537888362e-288,"Tcm","129804",13,"FBLN7","Wu","T Cells"
2.0110695934905e-276,1.11368078179624,0.179,0.083,3.766331134689e-272,"Tcm","10235",49,"RASGRP2","Wu","T Cells"
3.58266170259088e-260,1.06736775785761,0.184,0.088,6.70960883661221e-256,"Tcm","9214",56,"FCMR","Wu","T Cells"
1.43721489685897e-251,1.08288516156272,0.172,0.081,2.69161605883747e-247,"Tcm","84707",53,"BEX2","Wu","T Cells"
7.65962328422445e-242,1.22800278124353,0.139,0.061,1.43449424866955e-237,"Tcm","55340",30,"GIMAP5","Wu","T Cells"
3.68598762594128e-239,1.08843782405797,0.165,0.078,6.90311762586282e-235,"Tcm","53822",51,"FXYD7","Wu","T Cells"
1.06618659965907e-225,0.936081386797528,0.19,0.097,1.99675426384151e-221,"Tcm","22821",67,"RASA3","Wu","T Cells"
2.34777028301171e-214,0.799775923897498,0.268,0.159,4.39690418602433e-210,"Tcm","3983",100,"ABLIM1","Wu","T Cells"
4.61712228172006e-214,1.15969710638881,0.148,0.07,8.64694660920532e-210,"Tcm","105376843",40,"SNHG25","Wu","T Cells"
5.56260561046081e-212,0.952220877606988,0.186,0.097,1.0417647787271e-207,"Tcm","9840",64,"TESPA1","Wu","T Cells"
7.28516218914137e-180,0.925945820271601,0.175,0.095,1.36436517478239e-175,"Tcm","26751",68,"SH3YL1","Wu","T Cells"
2.41524788783011e-179,1.76688252880582,0.052,0.015,4.52327624432823e-175,"Tcm","339541",5,"ARMH1","Wu","T Cells"
2.37541841252167e-156,1.21466550489134,0.09,0.039,4.44868360297059e-152,"Tcm","155038",32,"GIMAP8","Wu","T Cells"
7.10761807953297e-133,1.34028050542495,0.064,0.025,1.33111471393493e-128,"Tcm","79608",22,"RIC3","Wu","T Cells"
